Date,TNKNOX5POP
1970-01-01,276.293
1971-01-01,284.6
1972-01-01,289.1
1973-01-01,290.0
1974-01-01,293.0
1975-01-01,299.6
1976-01-01,305.4
1977-01-01,306.9
1978-01-01,310.9
1979-01-01,316.6
1980-01-01,319.694
1981-01-01,324.615
1982-01-01,328.68
1983-01-01,328.524
1984-01-01,326.466
1985-01-01,326.408
1986-01-01,323.824
1987-01-01,325.423
1988-01-01,329.923
1989-01-01,333.737
1990-01-01,336.707
1991-01-01,342.864
1992-01-01,349.832
1993-01-01,356.001
1994-01-01,362.738
1995-01-01,369.171
1996-01-01,373.621
1997-01-01,376.767
1998-01-01,378.319
1999-01-01,380.01
2000-01-01,382.965
2001-01-01,387.71
2002-01-01,392.829
2003-01-01,399.155
2004-01-01,403.311
2005-01-01,409.324
2006-01-01,416.888
2007-01-01,424.257
2008-01-01,430.444
2009-01-01,434.617
2010-01-01,432.952
2011-01-01,436.822
2012-01-01,440.883
2013-01-01,444.453
2014-01-01,448.112
2015-01-01,451.551
2016-01-01,456.41
2017-01-01,461.977
2018-01-01,466.787
2019-01-01,470.137
2020-01-01,480.53
2021-01-01,486.005
2022-01-01,495.882
2023-01-01,501.576
2024-01-01,506.748
